row_ind,player_name,season,transfer_date,team_from,team_to,market_value,transfer_value,contract_expiry,player_url,query_date,timestamp,blob,player_id,teams_url,team_id,player_transfer_id,ID,nombre,transferId,fromTeamId,fromTeamName,toTeamId,toTeamName,active,startDate,endDate,type,value,currency,announceDate,playerId
3,aj cochran,20/21,2021-02-17,phoenix rising,indy eleven,250000,0,NA,https://www.transfermarkt.com/aj-cochran/profil/spieler/306391,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 42510,306391,https://www.transfermarkt.com/charleston-battery/startseite/verein/4115/saison_id/2022,4115,202102174115306391,phoenix rising_indy eleven_2021_2,aj cochran,1156285,29992,phoenix rising,27170,indy eleven,0,2021-02-17,2023-02-02,Transfer,0,EUR,,300553
2,aaren d'silva,20/21,2020-10-28,goa ii,goa,75000,NA,NA,https://www.transfermarkt.com/aaren-dsilva/profil/spieler/630382,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36861,630382,https://www.transfermarkt.com/hyderabad-fc/startseite/verein/76364/saison_id/2022,76364,2020102876364630382,goa ii_goa_2020_10,aaren d'silva,1059236,61377,goa ii,31884,goa,0,2020-10-28,2021-06-18,Transfer,0,EUR,,703579
5,aaron amadi-holloway,21/22,2021-07-23,sc east bengal,burton albion,2e+05,0,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2021072346842186574,sc east bengal_burton albion_2021_7,aaron amadi-holloway,1350346,15036,sc east bengal,1710,burton albion,0,2021-07-23,2022-01-28,Transfer,0,EUR,,10612
2,aaron amadi-holloway,22/23,2022-08-05,burton albion,hereford,2e+05,0,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2022080546842186574,burton albion_hereford_2022_8,aaron amadi-holloway,1674586,1710,burton albion,36605,hereford,0,2022-08-05,2023-07-12,Transfer,0,EUR,,10612
16,aaron amadi-holloway,11/12,2011-11-24,bristol city,bath city,50000,NA,2012-06-30,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2011112446842186574,bristol city_bath city_2011_11,aaron amadi-holloway,80644,1655,bristol city,1728,bath city,0,2011-11-24,2012-01-01,Loan,0,,2011-11-26,10612
6,aaron amadi-holloway,20/21,2020-10-17,brisbane roar,sc east bengal,2e+05,0,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2020101746842186574,brisbane roar_sc east bengal_2020_10,aaron amadi-holloway,1054694,8314,brisbane roar,15036,sc east bengal,0,2020-10-17,2021-07-23,Free Transfer,0,EUR,,10612
15,aaron amadi-holloway,11/12,2012-01-01,bath city,bristol city,50000,NA,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2012010146842186574,bath city_bristol city_2012_1,aaron amadi-holloway,1572374,1728,bath city,1655,bristol city,0,2012-01-01,2014-02-12,Back from Loan,0,EUR,,10612
6,aaron arnott,22/23,2023-01-13,brechin city,raith rovers,125000,NA,2023-05-31,https://www.transfermarkt.com/aaron-arnott/profil/spieler/822785,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 14545,822785,https://www.transfermarkt.com/brechin-city-fc/startseite/verein/3194/saison_id/2022,3194,202301133194822785,brechin city_raith rovers_2023_1,aaron arnott,1771045,8529,brechin city,8527,raith rovers,0,2023-01-13,2023-01-20,Transfer,0,EUR,,699833
3,aaron arnott,23/24,2023-09-19,raith rovers,east kilbride,125000,NA,2024-05-31,https://www.transfermarkt.com/aaron-arnott/profil/spieler/822785,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 14545,822785,https://www.transfermarkt.com/brechin-city-fc/startseite/verein/3194/saison_id/2022,3194,202309193194822785,raith rovers_east kilbride_2023_9,aaron arnott,2123254,8527,raith rovers,25860,east kilbride,0,2023-09-19,2024-05-31,Loan,0,EUR,,699833
7,aaron arnott,22/23,2022-09-07,raith rovers,brechin city,125000,NA,2024-05-31,https://www.transfermarkt.com/aaron-arnott/profil/spieler/822785,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 14545,822785,https://www.transfermarkt.com/brechin-city-fc/startseite/verein/3194/saison_id/2022,3194,202209073194822785,raith rovers_brechin city_2022_9,aaron arnott,1771043,8527,raith rovers,8529,brechin city,0,2022-09-07,2023-01-13,Transfer,0,EUR,,699833
