row_ind,player_name,season,transfer_date,team_from,team_to,market_value,transfer_value,contract_expiry,player_url,query_date,timestamp,blob,player_id,teams_url,team_id,player_transfer_id,nombre,transferId,fromTeamId,fromTeamName,toTeamId,toTeamName,active,startDate,endDate,type,value,currency,announceDate,playerId,ID_comparación
6,AJ Cochran,15/16,2016-03-06,Houston,St. Louis FC,250000,0,NA,https://www.transfermarkt.com/aj-cochran/profil/spieler/306391,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 42510,306391,https://www.transfermarkt.com/charleston-battery/startseite/verein/4115/saison_id/2022,4115,201603064115306391,AJ Cochran,237878,7944,Houston Dynamo,32932,Saint Louis,1,2016-02-18,,Transfer,0,,2016-03-27,300553,aj cochran_houston_st. louis_2016_3 / aj cochran_houston dynamo_saint louis_2016_2
3,AJ Cochran,20/21,2021-02-17,Phoenix Rising,Indy Eleven,250000,0,NA,https://www.transfermarkt.com/aj-cochran/profil/spieler/306391,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 42510,306391,https://www.transfermarkt.com/charleston-battery/startseite/verein/4115/saison_id/2022,4115,202102174115306391,AJ Cochran,1156285,29992,Phoenix Rising FC,27170,Indy Eleven,0,2021-02-17,2023-02-02,Transfer,0,EUR,,300553,aj cochran_phoenix rising_indy eleven_2021_2 / aj cochran_phoenix rising_indy eleven_2021_2
5,AJ Cochran,17/18,2018-01-24,St. Louis FC,ATL UTD 2,150000,0,NA,https://www.transfermarkt.com/aj-cochran/profil/spieler/306391,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 42510,306391,https://www.transfermarkt.com/charleston-battery/startseite/verein/4115/saison_id/2022,4115,201801244115306391,AJ Cochran,563640,32932,Saint Louis,,,0,2018-01-24,2018-01-24,Free Agent,0,EUR,,300553,aj cochran_st. louis_atl utd 2_2018_1 / aj cochran_saint louis__2018_1
4,AJ Cochran,18/19,2018-12-25,ATL UTD 2,Phoenix Rising,175000,0,NA,https://www.transfermarkt.com/aj-cochran/profil/spieler/306391,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 42510,306391,https://www.transfermarkt.com/charleston-battery/startseite/verein/4115/saison_id/2022,4115,201812254115306391,AJ Cochran,695487,62449,Atlanta United II,29992,Phoenix Rising,0,2018-12-25,2021-02-17,Free Transfer,0,EUR,,300553,aj cochran_atl utd 2_phoenix rising_2018_12 / aj cochran_atlanta united ii_phoenix rising_2018_12
2,AJ Cochran,22/23,2023-02-02,Indy Eleven,Charleston,175000,0,2023-11-30,https://www.transfermarkt.com/aj-cochran/profil/spieler/306391,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 42510,306391,https://www.transfermarkt.com/charleston-battery/startseite/verein/4115/saison_id/2022,4115,202302024115306391,AJ Cochran,1865206,27170,Indy Eleven,7866,Charleston Battery,0,2023-02-02,2023-12-31,Transfer,0,EUR,,300553,aj cochran_indy eleven_charleston_2023_2 / aj cochran_indy eleven_charleston battery_2023_2
1,AJ Marcucci,24/25,2024-12-31,IF Gnistan,New York,250000,NA,2024-12-31,https://www.transfermarkt.com/aj-marcucci/profil/spieler/884244,2024-09-11,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 50238,884244,https://www.transfermarkt.com/new-york-red-bulls/startseite/verein/623/saison_id/2022,623,20241231623884244,AJ Marcucci,2315328,4812,IF Gnistan,7945,New York Red Bulls,0,2024-12-31,,Back from Loan,0,EUR,,743532,aj marcucci_if gnistan_new york_2024_12 / aj marcucci_if gnistan_new york red bulls_2024_12
4,AJ Marcucci,20/21,2021-04-15,Without Club,NY Red Bulls II,NA,NA,NA,https://www.transfermarkt.com/aj-marcucci/profil/spieler/884244,2024-09-11,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 50238,884244,https://www.transfermarkt.com/new-york-red-bulls/startseite/verein/623/saison_id/2022,623,20210415623884244,AJ Marcucci,1212041,,,33172,New York Red Bulls II,0,2021-04-15,2021-09-11,Free Transfer,0,EUR,,743532,aj marcucci_without_ny red bulls ii_2021_4 / aj marcucci__new york red bulls ii_2021_4
3,AJ Marcucci,21/22,2021-09-11,NY Red Bulls II,New York,NA,NA,2021-11-30,https://www.transfermarkt.com/aj-marcucci/profil/spieler/884244,2024-09-11,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 50238,884244,https://www.transfermarkt.com/new-york-red-bulls/startseite/verein/623/saison_id/2022,623,20210911623884244,AJ Marcucci,2218403,33172,New York Red Bulls II,7945,New York Red Bulls,0,2021-09-11,2024-07-21,Transfer,0,EUR,,743532,aj marcucci_ny red bulls ii_new york_2021_9 / aj marcucci_new york red bulls ii_new york red bulls_2021_9
2,AJ Marcucci,24/25,2024-07-21,New York,IF Gnistan,150000,NA,2025-12-31,https://www.transfermarkt.com/aj-marcucci/profil/spieler/884244,2024-09-11,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 50238,884244,https://www.transfermarkt.com/new-york-red-bulls/startseite/verein/623/saison_id/2022,623,20240721623884244,AJ Marcucci,2315327,7945,New York Red Bulls,4812,IF Gnistan,0,2024-07-21,2024-12-31,Loan,0,EUR,,743532,aj marcucci_new york_if gnistan_2024_7 / aj marcucci_new york red bulls_if gnistan_2024_7
1,Aadil El Gachbour,19/20,2019-07-01,Unknown,L-Montlhéry B,NA,NA,NA,https://www.transfermarkt.com/aadil-el-gachbour/profil/spieler/735602,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 34576,735602,https://www.transfermarkt.com/esa-linas-montlhery/startseite/verein/67066/saison_id/2022,67066,2019070167066735602,Aadil El Gachbour,866356,,,65984,Linas-Montlhery,0,2019-07-01,,Free Transfer,0,EUR,,650775,aadil gachbour_unknown_l-montlhery b_2019_7 / aadil gachbour__linas-montlhery_2019_7
1,Aafreen Basharat Parray,24/25,2024-07-23,Rainbow AC,Downtown Heroes,NA,NA,NA,https://www.transfermarkt.com/aafreen-basharat-parray/profil/spieler/1120334,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 6739,1120334,https://www.transfermarkt.com/downtown-fc/startseite/verein/90496/saison_id/2022,90496,20240723904961120334,Aafreen Basharat Parray,2005963,,,73961,Downtown Heroes,0,2023-07-01,,Free Transfer,0,EUR,,955918,aafreen parray_rainbow ac_downtown heroes_2024_7 / aafreen parray__downtown heroes_2023_7
4,Aafreen Basharat Parray,23/24,2023-10-25,Downtown Heroes,ARA FC,NA,NA,NA,https://www.transfermarkt.com/aafreen-basharat-parray/profil/spieler/1120334,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 6739,1120334,https://www.transfermarkt.com/downtown-fc/startseite/verein/90496/saison_id/2022,90496,20231025904961120334,Aafreen Basharat Parray,2005963,,,73961,Downtown Heroes,0,2023-07-01,,Free Transfer,0,EUR,,955918,aafreen parray_downtown heroes_ara_2023_10 / aafreen parray__downtown heroes_2023_7
3,Aaren D'Silva,17/18,2017-07-01,Santa Cruz Club,Goa II,NA,0,NA,https://www.transfermarkt.com/aaren-dsilva/profil/spieler/630382,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36861,630382,https://www.transfermarkt.com/hyderabad-fc/startseite/verein/76364/saison_id/2022,76364,2017070176364630382,Aaren D'Silva,2005445,31604,Santa Cruz Club Of Cavelossim,61377,FC Goa II,0,2017-07-01,,Transfer,0,EUR,,703579,aaren d'silva_santa cruz_goa ii_2017_7 / aaren d'silva_santa cruz of cavelossim_goa ii_2017_7
1,Aaren D'Silva,20/21,2021-06-18,FC Goa,Hyderabad FC,50000,0,NA,https://www.transfermarkt.com/aaren-dsilva/profil/spieler/630382,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36861,630382,https://www.transfermarkt.com/hyderabad-fc/startseite/verein/76364/saison_id/2022,76364,2021061876364630382,Aaren D'Silva,1282047,31884,FC Goa,65456,Hyderabad FC,0,2021-06-18,,Transfer,0,EUR,,703579,aaren d'silva_goa_hyderabad_2021_6 / aaren d'silva_goa_hyderabad_2021_6
2,Aaren D'Silva,20/21,2020-10-28,Goa II,FC Goa,75000,NA,NA,https://www.transfermarkt.com/aaren-dsilva/profil/spieler/630382,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36861,630382,https://www.transfermarkt.com/hyderabad-fc/startseite/verein/76364/saison_id/2022,76364,2020102876364630382,Aaren D'Silva,1059236,61377,FC Goa II,31884,FC Goa,0,2020-10-28,2021-06-18,Transfer,0,EUR,,703579,aaren d'silva_goa ii_goa_2020_10 / aaren d'silva_goa ii_goa_2020_10
